مَنزِل (مَنازِل) : home : 2* : Split vocab entry for "house/home"
دار (دِيار/دور) : house : 2* : Split vocab entry for "house/home"

#منزل/منازل : home : 2* # ma-2-unit-2-memrise.tab:27

#دار/ديار : house : 2* # ma-2-unit-2-memrise.tab:9
#دار (دِيار/دور)، مَنزِل (مَنازِل) : house/home : 2 # ma-2-unit-2.tab:2
#دار (دِيار/دور)، مَنزِل (مَنازِل) : House(s)/home(s) : 2 # ma-2-unit-2-nouns.tab:2

خاصّ : private : 2* # ma-2-unit-2.tab:59
# خاص : Private : 2 # ma-2-unit-2-adj-other.tab:11
# خاصّ : private : 2* # ma-2-unit-2-memrise.tab:8

مَمنوع : forbidden : 2 # ma-2-unit-2.tab:60
# مَمنوع : Forbidden : 2 # ma-2-unit-2-adj-other.tab:12

تَكَوَّن، يَتَكَوَّن من : to consist of : 2* # ma-2-unit-2.tab:61
# تَكَوَّن، يَتَكَوَّن من : Consist of : 2 # ma-2-unit-2-adj-other.tab:13
# تكوّن/يتكوّن : to consist : 2* # ma-2-unit-2-memrise.tab:3

أَطَلَّ، يُطِلّ على : to look onto : 2* # ma-2-unit-2.tab:62
# أَطَلَّ، يُطِلّ على : Look onto : 2 # ma-2-unit-2-adj-other.tab:14
# أطلّ/يطلّ على : to look onto : 2* # ma-2-unit-2-memrise.tab:1

تَوَجّهَ، يَتَوَجّه (نَحْو) : to face towards : 2 # ma-2-unit-2.tab:63
# تَوَجّهَ، يَتَوَجّه (نَحْو) : Face towards : 2 # ma-2-unit-2-adj-other.tab:15

إختَلَف، يَختَلِف : vary : 2 # ma-2-unit-2.tab:64
# إختَلَف، يَختَلِف : Vary : 2 # ma-2-unit-2-adj-other.tab:16

الطابِق الأرضيّ : ground floor : 2 # ma-2-unit-2.tab:65
# الطابِق الأرضيّ : Ground floor : 2 # ma-2-unit-2-adj-other.tab:17

الطابق الأوّل : first floor : 2 # ma-2-unit-2.tab:66
# الطابق الأوّل : First floor : 2 # ma-2-unit-2-adj-other.tab:18

يوجَد، توجَد : can be found : 2* # ma-2-unit-2.tab:67
# يوجَد، توجَد : Can be found : 2 # ma-2-unit-2-adj-other.tab:19
# يوجد/توجد : can be found : 2* # ma-2-unit-2-memrise.tab:30

يُستَخدَم، تُستَخدَم : is used : 2 # ma-2-unit-2.tab:68
# يُستَخدَم، تُستَخدَم : Is used : 2 # ma-2-unit-2-adj-other.tab:20

لِلإيجار : for rent : 2* # ma-2-unit-2.tab:69
لِلإيجار : For rent : 2 # ma-2-unit-2-adj-other.tab:21
للإيجار : for rent : 2* # ma-2-unit-2-memrise.tab:21

بِطِراز : in the style of..... : 2 # ma-2-unit-2.tab:70
# بِطِراز : In the style of..... : 2 # ma-2-unit-2-adj-other.tab:22

في النهار : in the daytime : 2 # ma-2-unit-2.tab:71
# في النهار : In the daytime : 2 # ma-2-unit-2-adj-other.tab:23

أمّا : as for ... : 2 # ma-2-unit-2.tab:72
# أمّا : As for : 2 # ma-2-unit-2-adj-other.tab:24

لِذالِك : for that reason : 2 # ma-2-unit-2.tab:73
# لِذالِك : For that reason : 2 # ma-2-unit-2-adj-other.tab:25

غَير : non-/not : 2 # ma-2-unit-2.tab:74
# غَير : Non-/not : 2 # ma-2-unit-2-adj-other.tab:26



